title,authors,categories,published_year
Great Short Works of Herman Melville,Herman Melville,Fiction,2004.0
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,2006.0
Eleven Minutes,Paulo Coelho,Fiction,2005.0
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,2006.0
Ulysses S. Grant,Michael Korda,Biography & Autobiography,2004.0
A Dirty Job,Christopher Moore,Fiction,2006.0
Quicksilver,Neal Stephenson,Fiction,2004.0
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,2006.0
Flirting With Danger,Suzanne Enoch,Fiction,2005.0
Lost Horizon,James Hilton,Fiction,2004.0
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,2004.0
Thanksgiving,Janet Evanovich,Fiction,2006.0
Love Overboard,Janet Evanovich,Fiction,2005.0
Back to the Bedroom,Janet Evanovich,Fiction,2005.0
The Rocky Road to Romance,Janet Evanovich,Fiction,2004.0
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,2005.0
Muhammad,Karen Armstrong,Biography & Autobiography,2006.0
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,1995.0
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,2002.0
Shadow of the Almighty,Elisabeth Elliot,Religion,1989.0
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,2002.0
C.S. Lewis,C. S. Lewis,Religion,1996.0
The Screwtape Letters,C. S. Lewis,Religion,2001.0
Mere Christianity,C. S. Lewis,Religion,2001.0
Learning to Love,Thomas Merton,Religion,1998.0
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,2004.0
Cash,Johnny Cash,Biography & Autobiography,2003.0
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,2004.0
Touching the Void,Joe Simpson,Sports & Recreation,2004.0
Anybody Out There?,Marian Keyes,Fiction,2006.0
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,2004.0
The Confusion,Neal Stephenson,Fiction,2005.0
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,2004.0
Practical Demonkeeping,Christopher Moore,Fiction,2004.0
